exp	status	recall@3	recall@5	recall@25	recall@50	mrr@5	note
1	base	0.4426±0.0154	0.4749±0.0170	0.5559±0.0191	x	0.4119±0.0140	b=1.0,k1=2.0,lowercasing
2	keep	0.4873±0.0158	0.5183±0.0170	0.6074±0.0178	x	0.4478±0.0142	NLTK multilang stopword removal, punctuation removal
3	keep	0.5199±0.0170	0.5497±0.0184	0.6527±0.0204	0.6926±0.0178	0.4770±0.0165	title 3x,venue 2x
4	discard	0.5218±0.0184	0.5517±0.0167	0.6561±0.0187	0.6949±0.0179	0.4792±0.0164	title 4x
5	discard	0.5266±0.0210	0.5555±0.0189	0.6608±0.0211	0.6995±0.0191	0.4825±0.0176	title 10x
6	discard	0.2870±0.0105	0.3088±0.0081	0.3917±0.0138	0.4426±0.0135	0.2585±0.0084	remove abstract
7	discard	0.5226±0.0173	0.5485±0.0184	0.6539±0.0197	0.6939±0.0185	0.4778±0.0160	BMPlus
8	discard	0.5239±0.0181	0.5541±0.0176	0.6571±0.0201	0.6969±0.0182	0.4804±0.0180	b=0.9
9	discard	0.5214±0.0173	0.5497±0.0195	0.6532±0.0205	0.6943±0.0192	0.4773±0.0161	token length > 1
10	keep	0.5266±0.0209	0.5619±0.0219	0.6626±0.0189	0.7108±0.0168	0.4834±0.0157	lancaster stemming
11	discard	0.4853±0.0203	0.5230±0.0189	0.6262±0.0207	0.6729±0.0171	0.4420±0.0165	authors 3x
12	keep	0.5286±0.0194	0.5663±0.0227	0.6689±0.0175	0.7171±0.0148	0.4840±0.0171	remove authors 3x,lowercase
13	keep	0.5660±0.0216	0.6078±0.0192	0.7096±0.0218	0.7519±0.0160	0.5225±0.0186	punctuation to space
14	discard	0.5663±0.0216	0.6060±0.0195	0.7084±0.0228	0.7509±0.0151	0.5231±0.0184	lang only stopwords
15	keep	0.5814±0.0190	0.6166±0.0202	0.7163±0.0156	0.7590±0.0148	0.5374±0.0181	bigrams
16	discard	0.5785±0.0179	0.6115±0.0190	0.7112±0.0160	0.7549±0.0148	0.5322±0.0154	remove venue
17	discard	0.5591±0.0199	0.5905±0.0208	0.6922±0.0192	0.7352±0.0173	0.5137±0.0193	reorder title/abstract/venue,add authors
18	keep	0.5896±0.0194	0.6243±0.0187	0.7253±0.0151	0.7687±0.0151	0.5456±0.0160	speed optimizations
19	discard	0.5920±0.0191	0.6225±0.0207	0.7269±0.0150	0.7682±0.0157	0.5460±0.0169	k=2.5,b=.85
20	keep	0.5904±0.0188	0.6234±0.0205	0.7249±0.0146	0.7679±0.0157	0.5466±0.0166	k=2.25,b=.9
21	discard	0.5832±0.0192	0.6160±0.0195	0.7160±0.0152	0.7590±0.0159	0.5389±0.0155	remove venue
22	discard	0.5801±0.0198	0.6080±0.0174	0.7067±0.0133	0.7472±0.0142	0.5364±0.0155	remove venue, title 7x,abstract 2x
23	keep	0.5916±0.0183	0.6239±0.0216	0.7250±0.0145	0.7662±0.0136	0.5463±0.0181	title 7x
24	keep	0.5924±0.0201	0.6253±0.0210	0.7269±0.0140	0.7662±0.0151	0.5485±0.0178	term graph,prf
25	discard	0.5098±0.0174	0.5465±0.0228	0.6654±0.0220	0.7187±0.0205	0.4626±0.0149	remove term graph, prf
26	keep	0.5930±0.0200	0.6239±0.0191	0.7170±0.0152	0.7598±0.0139	0.5508±0.0164	lang only stopwords
