Title,Authors,Venue,Abstract
AdApt—a multimodal conversational dialogue system in an apartment domain,Joakim Gustafson and Linda Bell and Jonas Beskow and Johan Boye and Rolf Carlson and Jens Edlund and Björn Granström and David House and Mats Wirén,,"A general overview of the AdApt project and the research that is performed within the project is presented. In this project various aspects of human-computer interaction in a multimodal conversational dialogue systems are investigated. The project will also include studies on the integration of user/system/dialogue dependent speech recognition and multimodal speech synthesis. A domain in which multimodal interaction is highly useful has been chosen, namely, finding available apartments in Stockholm. A Wizard-of-Oz data collection within this domain is also described."
Interaction strategies for an affective conversational agent,Cameron Smith and Nigel Crook and Daniel Charlton and Johan Boye and Raul Santos De La Camara and Markku Turunen and David Benyon and Björn Gambäck and Oli Mival and Nick Webb and Marc Cavazza,Presence,"The development of embodied conversational agents (ECA) as companions brings several challenges for both affective and conversational dialogue. These include challenges in generating appropriate affective responses, selecting the overall shape of the dialogue, providing prompt system response times, and handling interruptions. We present an implementation of such a companion showing the development of individual modules that attempt to address these challenges. Further, to resolve resulting conflicts, we present encompassing interaction strategies that attempt to balance the competing requirements along with dialogues from our working prototype to illustrate these interaction strategies in operation. Finally, we provide the results of an evaluation of the companion using an evaluation methodology created for conversational dialogue and including analysis using appropriateness annotation."
Real-time handling of fragmented utterances,Linda Bell and Johan Boye and Joakim Gustafson,Proc. NAACL workshop on adaptation in dialogue systems,"In this paper, we discuss an adaptive method of handling fragmented user utterances to a speech-based multimodal dialogue system. Inserted silent pauses between fragments present the following problem: Does the current silence indicate that the user has completed her utterance, or is the silence just a pause between two fragments, so that the system should wait for more input? Our system incrementally classifies user utterances as either closing (more input is unlikely to come) or non-closing (more input is likely to come), partly depending on the current dialogue state. Utterances that are categorized as non-closing allow the dialogue system to await additional spoken or graphical input before responding."
Learning landmark salience models from users’ route instructions,Jana Götze and Johan Boye,Journal of Location Based Services,"Route instructions for pedestrians are usually better understood if they include references to landmarks, and moreover, these landmarks should be as salient as possible. In this paper, we present an approach for automatically deriving a mathematical model of salience directly from route instructions given by humans. Each possible landmark that a person can refer to in a given situation is modelled as a feature vector, and the salience associated with each landmark can be computed as a weighted sum of these features. We use a ranking SVM method to derive the weights from route instructions given by humans as they are walking the route. The weight vector, representing the person’s personal salience model, determines which landmark(s) are most appropriate to refer to in new situations."
Directional types and the annotation method,Johan Boye and Jan Małuszyński,The Journal of Logic Programming,"A directonal type for a Prolog program expresses certain properties of the operational semantics of the program. This paper shows that the annotation proof method, proposed by Deransart for proving declarative properties of logic programs, is also applicable for proving correctness of directional types. In particular, the sufficient correctness criterion of well-typedness by Bronsard et al., turns out to be a specialization of the annotation method. The comparison shows a general mechanism for construction of similar specializations, which is applied to derive yet another concept of well-typedness. The usefulness of the new correctness criterion is shown on examples of Prolog programs, where the traditional notion of well-typedness is not applicable. We further show that the new well-typing condition can be applied to different execution models. This is illustrated by an example of an execution model where unification is …"
The NICE fairy-tale game system,Joakim Gustafson and Linda Bell and Johan Boye and Anders Lindström and Mats Wirén,,"This paper presents the NICE fairy-tale game system, in which adults and children can interact with various animated characters in a 3D world. Computer games is an interesting application for spoken and multimodal dialogue systems. Moreover, for the development of future computer games, multimodal dialogue has the potential to greatly enrichen the user’s experience. In this paper, we also present some requirements that have to be fulfilled to successfully integrate spoken dialogue technology with a computer game application."
Declarative Diagnosis of Contraint Programs: An Assertion-Based Approach.,Johan Boye and Wlodzimierz Drabent and Jan Maluszynski,,"This paper discusses adaptation of the declarative diagnosis techniques for the use in constraint logic programming. The objective is to show how the well-known concepts are to be modified in this setting. In particular, the paper outlines basic algorithms for diagnosing incorrectness errors and insufficiency errors for constraint programs over arbitrary domains. The main focus is on defining kinds of assertions needed to facilitate the task of answering of debugger queries. The examples illustrate the use of the proposed assertions in the declarative diagnosis algorithms for finite domain constraint programs."
The Swedish NICE Corpus–Spoken dialogues between children and embodied characters in a computer game scenario,Linda Bell and Johan Boye and Joakim Gustafson and Mattias Heldner and Anders Lindström and Mats Wirén,,"This article describes the collection and analysis of a Swedish database of spontaneous and unconstrained children–machine dialogues. The Swedish NICE corpus consists of spoken dialogues between children aged 8 to 15 and embodied fairytale characters in a computer game scenario. Compared to previously collected corpora of children’s computer-directed speech, the Swedish NICE corpus contains extended interactions, including three-party conversation, in which the young users used spoken dialogue as the primary means of progression in the game."
Walk this way: Spatial grounding for city exploration,Johan Boye and Morgan Fredriksson and Jana Götze and Joakim Gustafson and Jürgen Königsmann,,"Recently there has been an interest in spatially aware systems for pedestrian routing and city exploration, due to the proliferation of smartphones with GPS receivers among the general public. Since GPS readings are noisy, giving good and well-timed route instructions to pedestrians is a challenging problem. This paper describes a spoken-dialogue prototype for pedestrian navigation in Stockholm that addresses this problem by using various grounding strategies."
Two Aspects of Directional Types.,Johan Boye and Jan Maluszynski,,"The idea of directional types is to describe the computational behaviour of Prolog programs by associating an input and an output assertion to every predicate. The input assertion puts a restriction on the form of the arguments of the predicate in the initial atomic goals. The output assertion describes the form of the arguments at success, given that the predicate is called as specified by its input assertion.This paper discusses two aspects of directional types: the declarative notion of input-output correctness and the operational notion of call correctness. By separating these two concepts, we readily obtain better correctness criteria than those existing in the literature. We further show how directional types can be used for controlling execution of logic programs through a delay"
